Pointer,Japanese,English,,
81091F2C,テイルズオブハーツR インフィニットエボルブ,TALES OF HEARTS R INFINITE EVOLVE,,
81091FFC,ＬＶ．,Lv.,,
81092008,/,/,,
8109200C,×,x,,
81092010,アイテムがありません,No items,,
81092030,称号がありません,No titles,,
8109204C,スキルがありません,No skills,,
810920D8,戻る,Back,,
810920E0,選択,Select,,
810920E8,初期設定に戻す,Default Settings,,
81092100,メッセージ速度を設定します,Changes the message display speed.,,
81092128,自動メッセージ送りの有無を設定します,"Messages will progress automatically
when set to ON.",,
81092160,ＢＧＭ音量を設定します,Adjusts the volume of background music.,,
81092184,ＳＥ音量を設定します,Adjusts the volume of sound effects.,,
810921A4,ボイス音量を設定します,Adjusts the volume of voices.,,
810921E0,遅い,Slow,,
810921E8,あり,On,,
810921F0,なし,Off,,
810921F8,Min,Min,,
810921FC,Max,Max,,
81092200,はい,Yes,,
81092208,いいえ,No,,
81092214,[　設定], [     ],can delete ?,
81092220,通常攻撃,Attack,can delete ?,
81092230,術技,Artes,can delete ?,
81092238,ガード,Guard,can delete ?,
81092244,メニュー,Menu,can delete ?,
81092254,設定完了,Done,,
81092264,設定完了,Done,,
81092274,キー変更,Change Key,,
810922A0,初期設定に戻しますか？,Restore to default?,,
81092354,特典アプリなので不明,noidea,,
81092374,フィールドへ,To Field,can delete ?,
81092388,入る,Enter,can delete ?,
81092390,出る,Exit,can delete ?,
81092398,上る,Ascend,can delete ?,
810923A0,下りる,Descend,can delete ?,
810923AC,調べる,Examine,can delete ?,
810923B8,話す,Talk,can delete ?,
810923C0,動かす,Move,can delete ?,
810923CC,乗る,Ride,can delete ?,
810923D4,昇る,昇る,can delete ?,
810923DC,飛び降りる,飛び降りる,can delete ?,
810923EC,セーブ,Save,can delete ?,
81092448,はい,Yes,,
81092450,いいえ,No,,
8109245C,%s,%s,,
81092460,%d.%02dGPを手に入れた！,Acquired: %d.%02dGP,can delete ?,
81092480,%d.%02dGPを失った…,Lost: %d.%02dGP...,can delete ?,
8109249C,%dガルドを手に入れました,%d Gald was obtained!,can delete ?,
810924C0,%dガルドを渡した,%d Gald was handed over.,can delete ?,
810924D8,%dガルドを失った…,%d Gald was lost...,can delete ?,
810924F4,宝箱の中は空っぽだった…,It’s empty.,can delete ?,
8109251C,宝箱の中身は魔物だった！,It contained a monster!,can delete ?,
81092544,所持ガルド,Gald,can delete ?,
81092560,宿泊しますか？,Stay the night?,can delete ?,
81092578,イベントをスキップしますか？,Skip this event?,,
810929E8,"はじめからゲームを開始すると、
今までのデータが消えてしまいます。


よろしいですか？","はじめからゲームを開始すると、
今までのデータが消えてしまいます。


よろしいですか？",,
81092A6C,"はじめからゲームを開始すると、
今までのデータが消えてしまいます。


%c%c%c%c本当に%c%c%c%cよろしいですか？","はじめからゲームを開始すると、
今までのデータが消えてしまいます。


%c%c%c%c本当に%c%c%c%cよろしいですか？",,
8109386C,？？？？,????,,
8109387C,パートナーと交替,Alternate Character,,
81093898,"%c%c%c%c%c               移動
%c%c%c%c%c%c%c%c%c%cまたは%c%c%c%c%c%c%c%c%c%c   %c%c%c%cダッシュ
%c%c%c%c%c               ジャンプ
%c%c%c%c%c               ガード
%c%c%c%c%c               通常攻撃
%c%c%c%c%c               %s
%c%c%c%c%c               メニュー
%c%c%c%c%c＋%c%c%c%c%c           %c%c%c%c下段攻撃
%c%c%c%c%c＋%c%c%c%c%c           %c%c%c%c%s
%c%c%c%c%c＋%c%c%c%c%c           %c%c%c%c%s
%c%c%c%c%c＋%c%c%c%c%c           %c%c%c%c%s
%c%c%c%c%cまたは%c%c%c%c%c       %c%c%c%cサポートキャラ
%c%c%c%c%c             %c%c%c%c%s
","%c%c%c%c%c: Move
%c%c%c%c%c%c%c%c%c%cまたは%c%c%c%c%c%c%c%c%c%c   %c%c%c%c: Dash
%c%c%c%c%c: Jump
%c%c%c%c%c: Guard
%c%c%c%c%c: Attack
%c%c%c%c%c :%s
%c%c%c%c%c: Menu
%c%c%c%c%c+%c%c%c%c%c           %c%c%c%c: Partner Attack
%c%c%c%c%c+%c%c%c%c%c           %c%c%c%c%s
%c%c%c%c%c+%c%c%c%c%c           %c%c%c%c%s
%c%c%c%c%c+%c%c%c%c%c           %c%c%c%c%s
%c%c%c%c%cまたは%c%c%c%c%c       %c%c%c%c: Support Character
%c%c%c%c%c             %c%c%c%c%s
",,
81093AFC,戻る,Back,,
81093B04,決定,Confirm,,
81093B0C,選択,Select,,
81093B14,編集,Edit,,
81093B1C,変更,Change,,
81093BC8,"ロードに失敗しました。
破損しているファイルを削除し、新規でセーブデータを作成します。","ロードに失敗しました。
破損しているファイルを削除し、新規でセーブデータを作成します。",,
81093C48,%,%,,
81093CF8,選択,Select,,
81093D00,購入,Buy,,
81093D08,連続購入,連続購入,,consequtive puchase
81093D30,"%sは%c%c%c%c%s%c%c%c%cを習得しました
%c%c%c%c%cで使用できます",1,,
81093D80,"%sは%c%c%c%c%s%c%c%c%cを習得しました
%c%c%c%c%c＋%c%c%c%c%cで使用できます",2,,
81093DDC,"%c%c%c%cダッシュ攻撃%c%c%c%cを習得しました
ダッシュ中に%c%c%c%c%cで使用できます",3,,
81093E48,"%c%c%c%c２段ジャンプ%c%c%c%cを習得しました
ジャンプ中に%c%c%c%c%cで使用できます",4,,
81093EB4,"%c%c%c%cジャンプダッシュ%c%c%c%cを習得しました
ジャンプ中に%c%c%c%c%c%c%c%c%c%cで使用できます",5,,
81093F30,"%c%c%c%cぶっ飛びダッシュ%c%c%c%cを習得しました
ジャンプダッシュ中に%c%c%c%c%c%c%c%c%c%cで使用できます",6,,
810926C8,%s：,%s: ,,
81092074,メッセージ速度,Message Speed,,
8109208C,自動メッセージ送り,Auto Text Advance,,
810920A8,ＢＧＭ音量,BGM Volume,,
810920B8,ＳＥ音量,SFX Volume,,
810920C8,ボイス音量,Voice Volume,,
8109353C,地砕衝,a,delete maybe,Artes name
81093548,獅子戦吼,b,delete maybe,Artes name
81093558,翔星刃,c,delete maybe,Artes name
81093564,星塵絶破,d,delete maybe,Artes name
81093574,火旋輪,e,delete maybe,Artes name
81093580,ファイアボール,f,delete maybe,Artes name
81093598,鳳凰天駆,g,delete maybe,Artes name
810935A8,エクスプロード,h,delete maybe,Artes name
81093D18,シング,Shing,,
81093D24,コハク,Kohaku,,
